No,data
168,"['bakso/batagor/siomay', 'bubur', 'sate', 'gorengan lain', 'soto/sop/makanan berkuah lainnya', 'teh', 'kopi', 'jus buah', 'minuman air']"
169,"['mie kuah', 'bakso/batagor/siomay', 'tahu', 'soto/sop/makanan berkuah lainnya', 'minuman air']"
170,"['nasi goreng', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'soto/sop/makanan berkuah lainnya', 'cendol', 'es campur', 'es doger']"
171,"['nasi goreng', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'roti bakar/kukus', 'sate', 'gorengan lain', 'cendol', 'es doger']"
172,"['nasi goreng', 'mie kuah', 'mie-miean', 'bubur', 'kue-kue', 'buah potong/rujak', 'jagung', 'kacang', 'ubi', 'tahu', 'gorengan lain', 'cendol', 'es doger', 'teh', 'jus buah', 'minuman air']"
173,"['nasi goreng', 'soda/soft drink']"
174,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'buah potong/rujak', 'roti bakar/kukus', 'es krim', 'jagung', 'kacang', 'ubi', 'tahu', 'sate', 'gorengan lain', 'soto/sop/makanan berkuah lainnya', 'es campur', 'kopi', 'bubble tea', 'jus buah']"
175,"['nasi goreng', 'mie kuah', 'bakso/batagor/siomay', 'bubur', 'gorengan lain', 'es campur', 'teh', 'kopi', 'bubble tea', 'soda/soft drink', 'jus buah']"
176,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'es krim', 'gorengan lain', 'soto/sop/makanan berkuah lainnya', 'teh']"
177,"['nasi goreng', 'bakso/batagor/siomay', 'bubur', 'gorengan lain', 'soto/sop/makanan berkuah lainnya', 'es campur']"
178,"['nasi goreng', 'bakso/batagor/siomay', 'bubur', 'kue-kue', 'buah potong/rujak', 'sate', 'soto/sop/makanan berkuah lainnya', 'cendol', 'jus buah']"
179,"['nasi goreng', 'nasi-nasian', 'bakso/batagor/siomay', 'sate', 'gorengan lain', 'teh', 'susu']"
180,"['nasi goreng', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'buah potong/rujak', 'roti bakar/kukus', 'tahu', 'sate', 'teh']"
181,"['nasi goreng', 'mie-miean', 'bubur', 'kue-kue', 'buah potong/rujak', 'roti bakar/kukus', 'kacang', 'tahu', 'gorengan lain', 'soto/sop/makanan berkuah lainnya', 'teh', 'jus buah']"
182,"['bubur', 'kerang ijo', 'minuman air']"
183,"['mie kuah', 'bakso/batagor/siomay', 'bubur', 'soto/sop/makanan berkuah lainnya', 'minuman air']"
184,"['nasi goreng', 'bakso/batagor/siomay', 'bubur', 'sate', 'cendol', 'es campur', 'es doger']"
185,"['nasi goreng', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'tahu', 'sate', 'gorengan lain', 'soto/sop/makanan berkuah lainnya', 'es campur', 'teh', 'kopi', 'soda/soft drink', 'susu', 'jus buah']"
186,"['nasi goreng', 'mie kuah', 'bakso/batagor/siomay', 'kue-kue', 'buah potong/rujak', 'sate', 'cendol', 'es doger', 'kopi']"
187,"['nasi goreng', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'soto/sop/makanan berkuah lainnya', 'cendol', 'es campur', 'es doger']"
188,"['nasi goreng', 'bakso/batagor/siomay', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'tahu', 'sate', 'gorengan lain', 'soto/sop/makanan berkuah lainnya', 'cendol', 'teh', 'susu', 'jus buah']"
189,"['bakso/batagor/siomay', 'roti bakar/kukus', 'tahu', 'sate', 'gorengan lain', 'asinan', 'gorengan lain', 'aci', 'seblak', 'cendol', 'soda/soft drink', 'susu', 'jus buah', 'cincau']"
190,"['bakso/batagor/siomay', 'roti bakar/kukus', 'sate', 'gorengan lain', 'teh']"
191,"['mie-miean', 'bubur', 'ayam bakar/goreng/fried chicken', 'sate', 'soto/sop/makanan berkuah lainnya', 'teh']"
192,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'buah potong/rujak', 'roti bakar/kukus', 'es krim', 'jagung', 'kacang', 'ubi', 'tahu', 'sate', 'gorengan lain', 'soto/sop/makanan berkuah lainnya', 'cendol', 'es campur', 'es doger', 'teh', 'kopi', 'bubble tea', 'soda/soft drink', 'susu', 'jus buah']"
193,"['nasi goreng', 'buah potong/rujak', 'roti bakar/kukus', 'es krim', 'cendol', 'es campur', 'es doger', 'bubble tea', 'susu', 'jus buah']"
194,"['nasi goreng', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'kue-kue', 'sate', 'jus buah']"
195,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'buah potong/rujak', 'roti bakar/kukus', 'es krim', 'jagung', 'kacang', 'ubi', 'tahu', 'sate', 'gorengan lain', 'soto/sop/makanan berkuah lainnya', 'cendol', 'es campur', 'es doger', 'teh', 'kopi', 'bubble tea', 'soda/soft drink', 'susu', 'jus buah']"
196,"['nasi goreng', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'soto/sop/makanan berkuah lainnya', 'cendol', 'es campur', 'es doger']"
197,"['nasi goreng', 'nasi-nasian', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'buah potong/rujak', 'roti bakar/kukus', 'es krim', 'tahu', 'gorengan lain', 'soto/sop/makanan berkuah lainnya', 'es campur', 'teh', 'bubble tea', 'jus buah']"
