No,data,rating
137,es doger,5
138,bakso/batagor/siomay,5
138,bubur,5
138,cendol,5
138,es campur,5
139,nasi goreng,5
139,bubur,5
139,soto/sop/makanan berkuah lainnya,5
139,es campur,5
140,nasi goreng,5
140,nasi-nasian,5
140,mie-miean,5
140,bubur,5
140,ayam bakar/goreng/fried chicken,5
140,kue-kue,5
140,buah potong/rujak,5
140,roti bakar/kukus,5
140,es krim,5
140,tahu,5
140,sate,5
140,gorengan lain,5
140,soto/sop/makanan berkuah lainnya,5
140,es campur,5
140,teh,5
140,kopi,5
140,bubble tea,5
140,jus buah,5
141,nasi goreng,5
141,mie kuah,5
141,nasi-nasian,5
141,mie-miean,5
141,bakso/batagor/siomay,5
141,ayam bakar/goreng/fried chicken,5
141,kue-kue,5
141,buah potong/rujak,5
141,roti bakar/kukus,5
141,es krim,5
141,tahu,5
141,sate,5
141,gorengan lain,5
141,soto/sop/makanan berkuah lainnya,5
141,cendol,5
141,es campur,5
141,teh,5
141,bubble tea,5
141,soda/soft drink,5
141,jus buah,5
142,bakso/batagor/siomay,5
142,bubur,5
142,buah potong/rujak,5
142,sate,5
142,jus buah,5
143,mie-miean,5
143,bakso/batagor/siomay,5
143,sate,5
143,gorengan lain,5
143,martabak,5
143,bubble tea,5
144,nasi goreng,5
144,mie-miean,5
144,ayam bakar/goreng/fried chicken,5
144,sate,5
144,gorengan lain,5
144,teh,5
145,nasi goreng,5
145,bakso/batagor/siomay,5
145,sate,5
145,teh,5
146,nasi goreng,5
146,bakso/batagor/siomay,5
146,ayam bakar/goreng/fried chicken,5
146,cendol,5
146,es doger,5
147,nasi goreng,5
147,mie-miean,5
147,bakso/batagor/siomay,5
147,bubur,5
147,kue-kue,5
147,sate,5
147,jus buah,5
148,mie-miean,5
148,bakso/batagor/siomay,5
148,bubur,5
148,tahu,5
148,sate,5
148,cendol,5
148,es doger,5
149,nasi goreng,5
149,mie kuah,5
149,nasi-nasian,5
149,mie-miean,5
149,bakso/batagor/siomay,5
149,bubur,5
149,ayam bakar/goreng/fried chicken,5
149,kue-kue,5
149,buah potong/rujak,5
149,roti bakar/kukus,5
149,es krim,5
149,tahu,5
149,sate,5
149,gorengan lain,5
149,soto/sop/makanan berkuah lainnya,5
149,es campur,5
149,teh,5
149,kopi,5
149,susu,5
149,jus buah,5
150,bakso/batagor/siomay,5
150,bubur,5
150,sate,5
150,teh,5
151,mie-miean,5
151,bubur,5
151,ayam bakar/goreng/fried chicken,5
151,sate,5
151,soto/sop/makanan berkuah lainnya,5
151,teh,5
152,nasi goreng,5
152,mie kuah,5
152,bakso/batagor/siomay,5
152,cendol,5
152,es campur,5
152,teh,5
153,nasi-nasian,5
153,teh,5
154,bakso/batagor/siomay,5
154,es doger,5
154,jus buah,5
155,nasi goreng,5
155,mie kuah,5
155,bubur,5
155,sate,5
155,soto/sop/makanan berkuah lainnya,5
155,minuman air,5
156,nasi goreng,5
156,bakso/batagor/siomay,5
156,ayam bakar/goreng/fried chicken,5
156,jagung,5
156,sate,5
156,gorengan lain,5
156,soto/sop/makanan berkuah lainnya,5
156,cendol,5
156,teh,5
156,kopi,5
156,bubble tea,5
156,soda/soft drink,5
156,susu,5
156,jus buah,5
157,nasi goreng,5
157,bakso/batagor/siomay,5
157,sate,5
157,teh,5
158,nasi goreng,5
158,bakso/batagor/siomay,5
158,bubur,5
158,ayam bakar/goreng/fried chicken,5
158,kue-kue,5
158,gorengan lain,5
158,soto/sop/makanan berkuah lainnya,5
158,teh,5
159,nasi goreng,5
159,bakso/batagor/siomay,5
159,gorengan lain,5
159,cendol,5
159,es campur,5
159,kopi,5
159,bubble tea,5
159,susu,5
160,nasi goreng,5
160,bakso/batagor/siomay,5
160,ayam bakar/goreng/fried chicken,5
160,teh,5
160,bubble tea,5
160,soda/soft drink,5
160,susu,5
161,nasi goreng,5
161,mie kuah,5
161,bakso/batagor/siomay,5
161,bubur,5
161,ayam bakar/goreng/fried chicken,5
161,roti bakar/kukus,5
161,sate,5
161,teh,5
161,jus buah,5
162,nasi goreng,5
162,bakso/batagor/siomay,5
162,gorengan lain,5
162,es campur,5
162,es doger,5
162,jus buah,5
163,nasi goreng,5
163,buah potong/rujak,5
163,es krim,5
163,sate,5
163,teh,5
163,kopi,5
163,bubble tea,5
163,susu,5
164,mie-miean,5
164,ayam bakar/goreng/fried chicken,5
164,kue-kue,5
164,gorengan lain,5
164,kopi,5
165,nasi goreng,5
165,mie kuah,5
165,bubur,5
165,sate,5
165,soto/sop/makanan berkuah lainnya,5
165,teh,5
165,minuman air,5
166,mie kuah,5
166,mie-miean,5
166,bakso/batagor/siomay,5
166,bubur,5
166,ayam bakar/goreng/fried chicken,5
166,sate,5
166,cendol,5
166,es campur,5
166,jus buah,5
167,bakso/batagor/siomay,5
167,bubur,5
167,sate,5
167,gorengan lain,5
167,soto/sop/makanan berkuah lainnya,5
167,teh,5
167,kopi,5
167,jus buah,5
167,minuman air,5
168,mie kuah,5
168,bakso/batagor/siomay,5
168,tahu,5
168,soto/sop/makanan berkuah lainnya,5
168,minuman air,5
169,nasi goreng,5
169,nasi-nasian,5
169,mie-miean,5
169,bakso/batagor/siomay,5
169,soto/sop/makanan berkuah lainnya,5
169,cendol,5
169,es campur,5
169,es doger,5
170,nasi goreng,5
170,mie-miean,5
170,bakso/batagor/siomay,5
170,bubur,5
170,roti bakar/kukus,5
170,sate,5
170,gorengan lain,5
170,cendol,5
170,es doger,5
171,nasi goreng,5
171,mie kuah,5
171,mie-miean,5
171,bubur,5
171,kue-kue,5
171,buah potong/rujak,5
171,jagung,5
171,kacang,5
171,ubi,5
171,tahu,5
171,gorengan lain,5
171,cendol,5
171,es doger,5
171,teh,5
171,jus buah,5
171,minuman air,5
172,nasi goreng,5
172,soda/soft drink,5
173,nasi goreng,5
173,mie kuah,5
173,nasi-nasian,5
173,mie-miean,5
173,bakso/batagor/siomay,5
173,bubur,5
173,ayam bakar/goreng/fried chicken,5
173,kue-kue,5
173,buah potong/rujak,5
173,roti bakar/kukus,5
173,es krim,5
173,jagung,5
173,kacang,5
173,ubi,5
173,tahu,5
173,sate,5
173,gorengan lain,5
173,soto/sop/makanan berkuah lainnya,5
173,es campur,5
173,kopi,5
173,bubble tea,5
173,jus buah,5
174,nasi goreng,5
174,mie kuah,5
174,bakso/batagor/siomay,5
174,bubur,5
174,gorengan lain,5
174,es campur,5
174,teh,5
174,kopi,5
174,bubble tea,5
174,soda/soft drink,5
174,jus buah,5
175,nasi goreng,5
175,mie kuah,5
175,nasi-nasian,5
175,mie-miean,5
175,bakso/batagor/siomay,5
175,bubur,5
175,ayam bakar/goreng/fried chicken,5
175,kue-kue,5
175,es krim,5
175,gorengan lain,5
175,soto/sop/makanan berkuah lainnya,5
175,teh,5
176,nasi goreng,5
176,bakso/batagor/siomay,5
176,bubur,5
176,gorengan lain,5
176,soto/sop/makanan berkuah lainnya,5
176,es campur,5
177,nasi goreng,5
177,bakso/batagor/siomay,5
177,bubur,5
177,kue-kue,5
177,buah potong/rujak,5
177,sate,5
177,soto/sop/makanan berkuah lainnya,5
177,cendol,5
177,jus buah,5
178,nasi goreng,5
178,nasi-nasian,5
178,bakso/batagor/siomay,5
178,sate,5
178,gorengan lain,5
178,teh,5
178,susu,5
179,nasi goreng,5
179,mie-miean,5
179,bakso/batagor/siomay,5
179,bubur,5
179,ayam bakar/goreng/fried chicken,5
179,kue-kue,5
179,buah potong/rujak,5
179,roti bakar/kukus,5
179,tahu,5
179,sate,5
179,teh,5
180,nasi goreng,5
180,mie-miean,5
180,bubur,5
180,kue-kue,5
180,buah potong/rujak,5
180,roti bakar/kukus,5
180,kacang,5
180,tahu,5
180,gorengan lain,5
180,soto/sop/makanan berkuah lainnya,5
180,teh,5
180,jus buah,5
181,bubur,5
181,kerang ijo,5
181,minuman air,5
182,mie kuah,5
182,bakso/batagor/siomay,5
182,bubur,5
182,soto/sop/makanan berkuah lainnya,5
182,minuman air,5
183,nasi goreng,5
183,bakso/batagor/siomay,5
183,bubur,5
183,sate,5
183,cendol,5
183,es campur,5
183,es doger,5
184,nasi goreng,5
184,bakso/batagor/siomay,5
184,bubur,5
184,ayam bakar/goreng/fried chicken,5
184,tahu,5
184,sate,5
184,gorengan lain,5
184,soto/sop/makanan berkuah lainnya,5
184,es campur,5
184,teh,5
184,kopi,5
184,soda/soft drink,5
184,susu,5
184,jus buah,5
185,nasi goreng,5
185,mie kuah,5
185,bakso/batagor/siomay,5
185,kue-kue,5
185,buah potong/rujak,5
185,sate,5
185,cendol,5
185,es doger,5
185,kopi,5
186,nasi goreng,5
186,nasi-nasian,5
186,mie-miean,5
186,bakso/batagor/siomay,5
186,soto/sop/makanan berkuah lainnya,5
186,cendol,5
186,es campur,5
186,es doger,5
187,nasi goreng,5
187,bakso/batagor/siomay,5
187,ayam bakar/goreng/fried chicken,5
187,kue-kue,5
187,tahu,5
187,sate,5
187,gorengan lain,5
187,soto/sop/makanan berkuah lainnya,5
187,cendol,5
187,teh,5
187,susu,5
187,jus buah,5
188,bakso/batagor/siomay,5
188,roti bakar/kukus,5
188,tahu,5
188,sate,5
188,gorengan lain,5
188,asinan,5
188,gorengan lain,5
188,aci,5
188,seblak,5
188,cendol,5
188,soda/soft drink,5
188,susu,5
188,jus buah,5
188,cincau,5
189,bakso/batagor/siomay,5
189,roti bakar/kukus,5
189,sate,5
189,gorengan lain,5
189,teh,5
190,mie-miean,5
190,bubur,5
190,ayam bakar/goreng/fried chicken,5
190,sate,5
190,soto/sop/makanan berkuah lainnya,5
190,teh,5
191,nasi goreng,5
191,mie kuah,5
191,nasi-nasian,5
191,mie-miean,5
191,bakso/batagor/siomay,5
191,bubur,5
191,ayam bakar/goreng/fried chicken,5
191,kue-kue,5
191,buah potong/rujak,5
191,roti bakar/kukus,5
191,es krim,5
191,jagung,5
191,kacang,5
191,ubi,5
191,tahu,5
191,sate,5
191,gorengan lain,5
191,soto/sop/makanan berkuah lainnya,5
191,cendol,5
191,es campur,5
191,es doger,5
191,teh,5
191,kopi,5
191,bubble tea,5
191,soda/soft drink,5
191,susu,5
191,jus buah,5
192,nasi goreng,5
192,buah potong/rujak,5
192,roti bakar/kukus,5
192,es krim,5
192,cendol,5
192,es campur,5
192,es doger,5
192,bubble tea,5
192,susu,5
192,jus buah,5
193,nasi goreng,5
193,mie-miean,5
193,bakso/batagor/siomay,5
193,bubur,5
193,kue-kue,5
193,sate,5
193,jus buah,5
194,nasi goreng,5
194,mie kuah,5
194,nasi-nasian,5
194,mie-miean,5
194,bakso/batagor/siomay,5
194,bubur,5
194,ayam bakar/goreng/fried chicken,5
194,kue-kue,5
194,buah potong/rujak,5
194,roti bakar/kukus,5
194,es krim,5
194,jagung,5
194,kacang,5
194,ubi,5
194,tahu,5
194,sate,5
194,gorengan lain,5
194,soto/sop/makanan berkuah lainnya,5
194,cendol,5
194,es campur,5
194,es doger,5
194,teh,5
194,kopi,5
194,bubble tea,5
194,soda/soft drink,5
194,susu,5
194,jus buah,5
195,nasi goreng,5
195,nasi-nasian,5
195,mie-miean,5
195,bakso/batagor/siomay,5
195,soto/sop/makanan berkuah lainnya,5
195,cendol,5
195,es campur,5
195,es doger,5
196,nasi goreng,5
196,nasi-nasian,5
196,bakso/batagor/siomay,5
196,bubur,5
196,ayam bakar/goreng/fried chicken,5
196,kue-kue,5
196,buah potong/rujak,5
196,roti bakar/kukus,5
196,es krim,5
196,tahu,5
196,gorengan lain,5
196,soto/sop/makanan berkuah lainnya,5
196,es campur,5
196,teh,5
196,bubble tea,5
196,jus buah,5
