No,data,rating
31,bakso/batagor/siomay,5
31,buah potong/rujak,5
31,gorengan lain,5
31,soda/soft drink,5
31,jus buah,5
32,nasi goreng,5
32,mie-miean,5
32,bakso/batagor/siomay,5
32,bubur,5
32,ayam bakar/goreng/fried chicken,5
32,kue-kue,5
32,roti bakar/kukus,5
32,sate,5
32,gorengan lain,5
32,cendol,5
32,teh,5
32,jus buah,5
33,nasi goreng,5
33,mie kuah,5
33,bakso/batagor/siomay,5
33,bubur,5
33,kue-kue,5
33,buah potong/rujak,5
33,roti bakar/kukus,5
33,ubi,5
33,tahu,5
33,sate,5
33,gorengan lain,5
33,cendol,5
33,es campur,5
33,susu,5
33,jus buah,5
34,nasi goreng,5
34,mie-miean,5
34,bakso/batagor/siomay,5
34,bubur,5
34,ayam bakar/goreng/fried chicken,5
34,kue-kue,5
34,buah potong/rujak,5
34,es krim,5
34,jagung,5
34,sate,5
34,gorengan lain,5
34,cendol,5
34,kopi,5
34,bubble tea,5
34,susu,5
34,jus buah,5
35,nasi goreng,5
35,bakso/batagor/siomay,5
35,bubur,5
35,ayam bakar/goreng/fried chicken,5
35,kue-kue,5
35,roti bakar/kukus,5
35,ubi,5
35,sate,5
35,gorengan lain,5
35,cendol,5
35,es campur,5
35,es doger,5
35,jus buah,5
36,nasi goreng,5
36,mie kuah,5
36,nasi-nasian,5
36,mie-miean,5
36,bakso/batagor/siomay,5
36,bubur,5
36,ayam bakar/goreng/fried chicken,5
36,buah potong/rujak,5
36,roti bakar/kukus,5
36,es krim,5
36,tahu,5
36,sate,5
36,gorengan lain,5
36,bubble tea,5
36,soda/soft drink,5
36,susu,5
36,jus buah,5
37,mie-miean,5
37,bakso/batagor/siomay,5
37,ayam bakar/goreng/fried chicken,5
37,kue-kue,5
37,jagung,5
37,kacang,5
37,sate,5
37,cendol,5
37,es campur,5
37,jus buah,5
38,nasi goreng,5
38,mie-miean,5
38,bakso/batagor/siomay,5
38,sate,5
38,gorengan lain,5
38,cendol,5
38,jus buah,5
39,nasi goreng,5
39,nasi-nasian,5
39,mie-miean,5
39,ayam bakar/goreng/fried chicken,5
39,kue-kue,5
39,teh,5
40,mie-miean,5
40,bakso/batagor/siomay,5
40,bubur,5
40,ayam bakar/goreng/fried chicken,5
40,gorengan lain,5
40,cendol,5
40,teh,5
40,susu,5
40,soda/soft drink,5
41,mie-miean,5
41,bakso/batagor/siomay,5
41,buah potong/rujak,5
41,teh,5
41,kopi,5
42,nasi goreng,5
42,mie kuah,5
42,nasi-nasian,5
42,mie-miean,5
42,bakso/batagor/siomay,5
42,bubur,5
42,ayam bakar/goreng/fried chicken,5
42,es krim,5
42,sate,5
42,gorengan lain,5
42,cendol,5
42,es doger,5
42,teh,5
42,kopi,5
42,bubble tea,5
42,soda/soft drink,5
42,susu,5
42,jus buah,5
43,nasi goreng,5
43,nasi-nasian,5
43,bakso/batagor/siomay,5
43,sate,5
43,cendol,5
43,es campur,5
43,bubble tea,5
43,susu,5
43,jus buah,5
44,nasi goreng,5
44,mie kuah,5
44,mie-miean,5
44,bakso/batagor/siomay,5
44,bubur,5
44,ayam bakar/goreng/fried chicken,5
44,cendol,5
44,es campur,5
44,es doger,5
44,jus buah,5
45,nasi goreng,5
45,bakso/batagor/siomay,5
45,bubur,5
45,jus buah,5
46,nasi goreng,5
46,bakso/batagor/siomay,5
46,gorengan lain,5
46,teh,5
46,kopi,5
47,nasi goreng,5
47,mie kuah,5
47,mie-miean,5
47,bakso/batagor/siomay,5
47,bubur,5
47,ayam bakar/goreng/fried chicken,5
47,kue-kue,5
47,buah potong/rujak,5
47,es krim,5
47,gorengan lain,5
47,es campur,5
47,teh,5
47,kopi,5
47,soda/soft drink,5
47,susu,5
47,jus buah,5
48,nasi goreng,5
48,mie-miean,5
48,bakso/batagor/siomay,5
48,bubur,5
48,ayam bakar/goreng/fried chicken,5
48,kue-kue,5
48,sate,5
48,cendol,5
48,es campur,5
48,es doger,5
48,teh,5
48,kopi,5
48,soda/soft drink,5
48,susu,5
48,jus buah,5
49,nasi goreng,5
49,bakso/batagor/siomay,5
49,ayam bakar/goreng/fried chicken,5
49,sate,5
49,minuman air,5
50,angkringan,5
50,jus buah,5
51,mie-miean,5
51,bakso/batagor/siomay,5
51,bubur,5
51,ayam bakar/goreng/fried chicken,5
51,kue-kue,5
51,roti bakar/kukus,5
51,es krim,5
51,tahu,5
51,sate,5
51,gorengan lain,5
51,cendol,5
51,es campur,5
51,es doger,5
51,teh,5
51,bubble tea,5
51,susu,5
51,jus buah,5
52,nasi goreng,5
52,bakso/batagor/siomay,5
52,bubur,5
52,ayam bakar/goreng/fried chicken,5
52,kue-kue,5
52,buah potong/rujak,5
52,roti bakar/kukus,5
52,es krim,5
52,jagung,5
52,kacang,5
52,ubi,5
52,tahu,5
52,sate,5
52,gorengan lain,5
52,cendol,5
52,teh,5
53,nasi goreng,5
53,es doger,5
54,nasi goreng,5
54,nasi-nasian,5
54,mie-miean,5
54,bakso/batagor/siomay,5
54,ayam bakar/goreng/fried chicken,5
54,buah potong/rujak,5
54,roti bakar/kukus,5
54,es krim,5
54,sate,5
54,seblak,5
54,es campur,5
54,es doger,5
54,teh,5
54,susu,5
54,jus buah,5
55,mie kuah,5
55,mie-miean,5
55,bakso/batagor/siomay,5
55,bubur,5
55,kue-kue,5
55,es krim,5
55,sate,5
55,gorengan lain,5
55,cendol,5
55,es campur,5
55,teh,5
55,kopi,5
55,bubble tea,5
55,susu,5
55,jus buah,5
56,nasi goreng,5
56,mie kuah,5
56,nasi-nasian,5
56,mie-miean,5
56,bakso/batagor/siomay,5
56,bubur,5
56,ayam bakar/goreng/fried chicken,5
56,roti bakar/kukus,5
56,sate,5
56,es campur,5
56,teh,5
56,susu,5
56,jus buah,5
57,nasi goreng,5
57,mie kuah,5
57,nasi-nasian,5
57,mie-miean,5
57,bakso/batagor/siomay,5
57,bubur,5
57,ayam bakar/goreng/fried chicken,5
57,buah potong/rujak,5
57,es krim,5
57,sate,5
57,sosis,5
57,susu,5
57,jus buah,5
58,nasi goreng,5
58,ayam bakar/goreng/fried chicken,5
58,gorengan lain,5
58,sate,5
58,es doger,5
58,jus buah,5
58,susu,5
60,nasi goreng,5
60,nasi-nasian,5
60,mie-miean,5
60,bakso/batagor/siomay,5
60,bubur,5
60,ayam bakar/goreng/fried chicken,5
60,gorengan lain,5
60,soto/sop/makanan berkuah lainnya,5
60,teh,5
61,nasi-nasian,5
61,mie-miean,5
61,bakso/batagor/siomay,5
61,gorengan lain,5
61,cendol,5
61,es doger,5
62,nasi goreng,5
62,mie kuah,5
62,mie-miean,5
62,bakso/batagor/siomay,5
62,tahu,5
62,sate,5
62,cendol,5
62,es campur,5
62,es doger,5
62,teh,5
62,kopi,5
62,bubble tea,5
62,susu,5
62,jus buah,5
63,nasi goreng,5
63,bakso/batagor/siomay,5
63,roti bakar/kukus,5
63,tahu,5
63,es doger,5
64,nasi goreng,5
64,mie kuah,5
64,dimsum,5
64,cendol,5
64,es campur,5
64,teh,5
65,mie kuah,5
65,mie-miean,5
65,bubur,5
65,ayam bakar/goreng/fried chicken,5
65,roti bakar/kukus,5
65,es krim,5
65,ubi,5
65,sate,5
65,bubble tea,5
65,soda/soft drink,5
65,susu,5
65,jus buah,5
66,mie-miean,5
66,bakso/batagor/siomay,5
66,bubur,5
66,ayam bakar/goreng/fried chicken,5
66,kue-kue,5
66,roti bakar/kukus,5
66,tahu,5
66,sate,5
66,gorengan lain,5
66,cendol,5
66,es campur,5
66,es doger,5
66,teh,5
66,bubble tea,5
66,jus buah,5
67,nasi goreng,5
67,bakso/batagor/siomay,5
67,bubur,5
67,ayam bakar/goreng/fried chicken,5
67,sate,5
67,es campur,5
67,es doger,5
68,nasi goreng,5
68,bubur,5
68,ayam bakar/goreng/fried chicken,5
68,tahu,5
