userID,movieID,rating
7,roti bakar/kukus,1
7,jagung,1
7,kacang,1
7,tahu,1
7,sate,5
7,gorengan lain,5
7,es krim,1
7,ubi,1
7,takoyaki,1
7,martabak,1
7,aci,1
7,lotek,1
7,macaroni,1
7,lumpia basah,1
7,seblak,1
7,angkringan,1
7,soto/sop/makanan berkuah lainnya,1
7,dimsum,1
7,kebab,1
7,burger,1
7,kerang ijo,1
7,asinan,1
7,teh,5
7,cendol,1
7,es campur,1
7,bubble tea,1
7,susu,5
7,jus buah,1
7,soda/soft drink,1
7,es doger,1
7,kopi,5
7,wedang,5
7,minuman air,1
7,air kelapa,1
7,cincau,1
8,sosis,1
8,nasi goreng,5
8,mie kuah,1
8,nasi-nasian,1
8,mie-miean,1
8,bakso/batagor/siomay,5
8,bubur,1
8,ayam bakar/goreng/fried chicken,1
8,kue-kue,1
8,buah potong/rujak,1
8,roti bakar/kukus,1
8,jagung,1
8,kacang,1
8,tahu,1
8,sate,5
8,gorengan lain,5
8,es krim,1
8,ubi,1
8,takoyaki,1
8,martabak,5
8,aci,1
8,lotek,1
8,macaroni,1
8,lumpia basah,1
8,seblak,1
8,angkringan,1
8,soto/sop/makanan berkuah lainnya,1
8,dimsum,1
8,kebab,1
8,burger,1
8,kerang ijo,1
8,asinan,1
8,teh,1
8,cendol,1
8,es campur,1
8,bubble tea,1
8,susu,5
8,jus buah,1
8,soda/soft drink,1
8,es doger,5
8,kopi,1
8,wedang,1
8,minuman air,1
8,air kelapa,1
8,cincau,1
9,sosis,1
9,nasi goreng,5
9,mie kuah,1
9,nasi-nasian,1
9,mie-miean,5
9,bakso/batagor/siomay,1
9,bubur,5
9,ayam bakar/goreng/fried chicken,1
9,kue-kue,1
9,buah potong/rujak,1
9,roti bakar/kukus,1
9,jagung,1
9,kacang,1
9,tahu,1
9,sate,1
9,gorengan lain,1
9,es krim,1
9,ubi,1
9,takoyaki,1
9,martabak,1
9,aci,1
9,lotek,1
9,macaroni,1
9,lumpia basah,1
9,seblak,1
9,angkringan,1
9,soto/sop/makanan berkuah lainnya,1
9,dimsum,1
9,kebab,1
9,burger,1
9,kerang ijo,1
9,asinan,1
9,teh,1
9,cendol,1
9,es campur,1
9,bubble tea,1
9,susu,1
9,jus buah,5
9,soda/soft drink,1
9,es doger,1
9,kopi,1
9,wedang,1
9,minuman air,1
9,air kelapa,1
9,cincau,1
10,sosis,1
10,nasi goreng,5
10,mie kuah,1
10,nasi-nasian,1
10,mie-miean,1
10,bakso/batagor/siomay,1
10,bubur,1
10,ayam bakar/goreng/fried chicken,5
10,kue-kue,1
10,buah potong/rujak,1
10,roti bakar/kukus,1
10,jagung,1
10,kacang,1
10,tahu,1
10,sate,5
10,gorengan lain,1
10,es krim,1
10,ubi,1
10,takoyaki,1
10,martabak,1
10,aci,1
10,lotek,1
10,macaroni,1
10,lumpia basah,1
10,seblak,1
10,angkringan,1
10,soto/sop/makanan berkuah lainnya,1
10,dimsum,1
10,kebab,1
10,burger,1
10,kerang ijo,1
10,asinan,1
10,teh,5
10,cendol,1
10,es campur,1
10,bubble tea,1
10,susu,1
10,jus buah,1
10,soda/soft drink,1
10,es doger,1
10,kopi,1
10,wedang,1
10,minuman air,1
10,air kelapa,1
10,cincau,1
11,sosis,1
11,nasi goreng,5
11,mie kuah,5
11,nasi-nasian,1
11,mie-miean,1
11,bakso/batagor/siomay,5
11,bubur,5
11,ayam bakar/goreng/fried chicken,5
11,kue-kue,5
11,buah potong/rujak,5
11,roti bakar/kukus,5
11,jagung,1
11,kacang,5
11,tahu,5
11,sate,5
11,gorengan lain,5
11,es krim,5
11,ubi,1
11,takoyaki,1
11,martabak,1
11,aci,1
11,lotek,1
11,macaroni,1
11,lumpia basah,1
11,seblak,1
11,angkringan,1
11,soto/sop/makanan berkuah lainnya,1
11,dimsum,1
11,kebab,1
11,burger,1
11,kerang ijo,1
11,asinan,1
11,teh,5
11,cendol,1
11,es campur,5
11,bubble tea,1
11,susu,5
11,jus buah,5
11,soda/soft drink,1
11,es doger,5
11,kopi,5
11,wedang,1
11,minuman air,1
11,air kelapa,1
11,cincau,1
12,sosis,1
12,nasi goreng,5
12,mie kuah,5
12,nasi-nasian,1
12,mie-miean,1
12,bakso/batagor/siomay,5
12,bubur,1
12,ayam bakar/goreng/fried chicken,1
12,kue-kue,5
12,buah potong/rujak,1
12,roti bakar/kukus,5
12,jagung,1
12,kacang,1
12,tahu,1
12,sate,5
12,gorengan lain,1
12,es krim,1
12,ubi,1
12,takoyaki,1
12,martabak,1
12,aci,1
12,lotek,1
12,macaroni,1
12,lumpia basah,1
12,seblak,1
12,angkringan,1
12,soto/sop/makanan berkuah lainnya,1
12,dimsum,1
12,kebab,1
12,burger,1
12,kerang ijo,1
12,asinan,1
12,teh,5
12,cendol,1
12,es campur,1
12,bubble tea,1
12,susu,5
12,jus buah,1
12,soda/soft drink,1
12,es doger,1
12,kopi,1
12,wedang,1
12,minuman air,1
12,air kelapa,1
12,cincau,1
13,sosis,1
13,nasi goreng,5
13,mie kuah,1
13,nasi-nasian,1
13,mie-miean,1
13,bakso/batagor/siomay,5
13,bubur,1
13,ayam bakar/goreng/fried chicken,1
13,kue-kue,1
13,buah potong/rujak,1
13,roti bakar/kukus,5
13,jagung,1
13,kacang,1
13,tahu,1
13,sate,5
13,gorengan lain,1
13,es krim,1
13,ubi,1
13,takoyaki,1
13,martabak,1
13,aci,1
13,lotek,1
13,macaroni,1
13,lumpia basah,1
13,seblak,1
13,angkringan,1
13,soto/sop/makanan berkuah lainnya,1
13,dimsum,1
13,kebab,1
13,burger,1
13,kerang ijo,1
13,asinan,1
13,teh,5
13,cendol,1
13,es campur,1
13,bubble tea,1
13,susu,1
13,jus buah,1
13,soda/soft drink,1
13,es doger,1
13,kopi,1
13,wedang,1
13,minuman air,1
13,air kelapa,1
13,cincau,1
14,sosis,1
14,nasi goreng,5
14,mie kuah,1
14,nasi-nasian,1
14,mie-miean,1
14,bakso/batagor/siomay,1
14,bubur,5
14,ayam bakar/goreng/fried chicken,1
14,kue-kue,1
14,buah potong/rujak,1
14,roti bakar/kukus,1
14,jagung,1
14,kacang,1
14,tahu,1
14,sate,5
14,gorengan lain,1
14,es krim,5
14,ubi,1
14,takoyaki,1
14,martabak,1
14,aci,1
14,lotek,1
14,macaroni,1
14,lumpia basah,1
14,seblak,1
14,angkringan,1
14,soto/sop/makanan berkuah lainnya,1
14,dimsum,1
14,kebab,1
14,burger,1
14,kerang ijo,1
14,asinan,1
14,teh,5
14,cendol,1
14,es campur,1
14,bubble tea,1
14,susu,5
14,jus buah,1
14,soda/soft drink,1
14,es doger,1
14,kopi,1
14,wedang,1
14,minuman air,1
14,air kelapa,1
14,cincau,1
15,sosis,1
15,nasi goreng,5
15,mie kuah,1
15,nasi-nasian,1
15,mie-miean,1
15,bakso/batagor/siomay,5
15,bubur,5
15,ayam bakar/goreng/fried chicken,1
15,kue-kue,1
15,buah potong/rujak,1
15,roti bakar/kukus,1
15,jagung,1
15,kacang,1
15,tahu,1
15,sate,1
15,gorengan lain,5
15,es krim,1
15,ubi,1
15,takoyaki,1
15,martabak,1
15,aci,5
15,lotek,1
15,macaroni,1
15,lumpia basah,1
15,seblak,1
15,angkringan,1
15,soto/sop/makanan berkuah lainnya,1
15,dimsum,1
15,kebab,1
15,burger,1
15,kerang ijo,1
15,asinan,1
15,teh,1
15,cendol,1
15,es campur,1
15,bubble tea,5
15,susu,1
15,jus buah,1
15,soda/soft drink,1
15,es doger,1
15,kopi,1
15,wedang,1
15,minuman air,1
15,air kelapa,1
15,cincau,1
16,sosis,1
16,nasi goreng,5
16,mie kuah,1
16,nasi-nasian,5
16,mie-miean,5
16,bakso/batagor/siomay,5
16,bubur,1
16,ayam bakar/goreng/fried chicken,5
16,kue-kue,1
16,buah potong/rujak,1
16,roti bakar/kukus,1
16,jagung,1
16,kacang,1
16,tahu,1
