userid,foodanddrinkname,rating
14,berkuah,1
14,cendol,1
14,es campur,1
14,bubble tea,1
14,susu,5
14,jus buah,1
14,soft drink,1
14,es doger,1
14,teh,5
14,kopi,1
14,air mineral,1
14,air kelapa,1
17,nasi goreng,5
17,mie kuah,1
17,nasi,1
17,mie,5
17,bakso,5
17,bubur,5
17,ayam,1
17,kue,1
17,buah,1
17,roti,1
17,jagung,1
17,kacang,1
17,tahu,1
17,sate,5
17,gorengan kering,5
17,es krim,5
17,ubi,1
17,luar negeri,1
17,gorengan basah,1
17,berkuah,1
17,cendol,1
17,es campur,1
17,bubble tea,1
17,susu,1
17,jus buah,5
17,soft drink,1
17,es doger,5
17,teh,1
17,kopi,1
17,air mineral,1
17,air kelapa,1
20,nasi goreng,1
20,mie kuah,5
20,nasi,1
20,mie,5
20,bakso,5
20,bubur,5
20,ayam,1
20,kue,1
20,buah,1
20,roti,1
20,jagung,1
20,kacang,1
20,tahu,1
20,sate,5
20,gorengan kering,1
20,es krim,5
20,ubi,1
20,luar negeri,1
20,gorengan basah,1
20,berkuah,1
20,cendol,1
20,es campur,1
20,bubble tea,5
20,susu,1
20,jus buah,5
20,soft drink,5
20,es doger,1
20,teh,1
20,kopi,1
20,air mineral,1
20,air kelapa,1
22,nasi goreng,5
22,mie kuah,5
22,nasi,1
22,mie,5
22,bakso,1
22,bubur,5
22,ayam,5
22,kue,1
22,buah,1
22,roti,1
22,jagung,1
22,kacang,1
22,tahu,1
22,sate,5
22,gorengan kering,1
22,es krim,1
22,ubi,1
22,luar negeri,1
22,gorengan basah,1
22,berkuah,1
22,cendol,1
22,es campur,1
22,bubble tea,5
22,susu,5
22,jus buah,5
22,soft drink,5
22,es doger,1
22,teh,1
22,kopi,1
22,air mineral,1
22,air kelapa,1
23,nasi goreng,5
23,mie kuah,5
23,nasi,5
23,mie,5
23,bakso,5
23,bubur,5
23,ayam,5
23,kue,5
23,buah,1
23,roti,1
23,jagung,1
23,kacang,1
23,tahu,1
23,sate,5
23,gorengan kering,5
23,es krim,1
23,ubi,1
23,luar negeri,1
23,gorengan basah,1
23,berkuah,1
23,cendol,1
23,es campur,1
23,bubble tea,5
23,susu,5
23,jus buah,5
23,soft drink,1
23,es doger,5
23,teh,5
23,kopi,5
23,air mineral,1
23,air kelapa,1
24,nasi goreng,1
24,mie kuah,1
24,nasi,1
24,mie,5
24,bakso,5
24,bubur,1
24,ayam,1
24,kue,5
24,buah,1
24,roti,1
24,jagung,1
24,kacang,1
24,tahu,1
24,sate,1
24,gorengan kering,5
24,es krim,5
24,ubi,1
24,luar negeri,1
24,gorengan basah,1
24,berkuah,1
24,cendol,1
24,es campur,1
24,bubble tea,5
24,susu,1
24,jus buah,5
24,soft drink,5
24,es doger,1
24,teh,1
24,kopi,1
24,air mineral,1
24,air kelapa,1
25,nasi goreng,5
25,mie kuah,5
25,nasi,5
25,mie,5
25,bakso,5
25,bubur,5
25,ayam,5
25,kue,1
25,buah,5
25,roti,5
25,jagung,5
25,kacang,5
25,tahu,5
25,sate,5
25,gorengan kering,5
25,es krim,5
25,ubi,5
25,luar negeri,1
25,gorengan basah,1
25,berkuah,1
25,cendol,5
25,es campur,5
25,bubble tea,5
25,susu,5
25,jus buah,5
25,soft drink,5
25,es doger,5
25,teh,5
25,kopi,5
25,air mineral,1
25,air kelapa,1
26,nasi goreng,1
26,mie kuah,1
26,nasi,1
26,mie,1
26,bakso,1
26,bubur,5
26,ayam,5
26,kue,5
26,buah,5
26,roti,1
26,jagung,1
26,kacang,1
26,tahu,1
26,sate,1
26,gorengan kering,1
26,es krim,1
26,ubi,1
26,luar negeri,1
26,gorengan basah,1
26,berkuah,1
26,cendol,1
26,es campur,5
26,bubble tea,1
26,susu,5
26,jus buah,5
26,soft drink,1
26,es doger,1
26,teh,1
26,kopi,1
26,air mineral,1
26,air kelapa,1
27,nasi goreng,1
27,mie kuah,5
27,nasi,5
27,mie,5
27,bakso,5
27,bubur,1
27,ayam,5
27,kue,5
27,buah,1
27,roti,1
27,jagung,1
27,kacang,1
27,tahu,5
27,sate,5
27,gorengan kering,5
27,es krim,1
27,ubi,1
27,luar negeri,1
27,gorengan basah,1
27,berkuah,1
27,cendol,1
27,es campur,1
27,bubble tea,1
27,susu,5
27,jus buah,1
27,soft drink,1
27,es doger,1
27,teh,5
27,kopi,1
27,air mineral,1
27,air kelapa,1
28,nasi goreng,5
28,mie kuah,1
28,nasi,1
28,mie,1
28,bakso,1
28,bubur,1
28,ayam,1
28,kue,5
28,buah,1
28,roti,5
28,jagung,1
28,kacang,1
28,tahu,1
28,sate,1
28,gorengan kering,1
28,es krim,1
28,ubi,1
28,luar negeri,1
28,gorengan basah,1
28,berkuah,1
28,cendol,1
28,es campur,5
28,bubble tea,1
28,susu,5
28,jus buah,5
28,soft drink,1
28,es doger,1
28,teh,1
28,kopi,1
28,air mineral,1
28,air kelapa,1
29,nasi goreng,5
29,mie kuah,1
29,nasi,1
29,mie,1
29,bakso,5
29,bubur,1
29,ayam,1
29,kue,5
29,buah,1
29,roti,1
29,jagung,1
29,kacang,1
29,tahu,1
29,sate,1
29,gorengan kering,1
29,es krim,5
29,ubi,1
29,luar negeri,5
29,gorengan basah,5
29,berkuah,1
29,cendol,1
29,es campur,1
29,bubble tea,1
29,susu,1
29,jus buah,5
29,soft drink,5
29,es doger,1
29,teh,5
29,kopi,1
29,air mineral,1
29,air kelapa,1
30,nasi goreng,1
30,mie kuah,1
30,nasi,5
30,mie,5
30,bakso,1
30,bubur,5
30,ayam,5
30,kue,1
30,buah,1
30,roti,1
30,jagung,1
30,kacang,1
30,tahu,1
30,sate,1
30,gorengan kering,1
30,es krim,1
30,ubi,1
30,luar negeri,1
30,gorengan basah,1
30,berkuah,1
30,cendol,1
30,es campur,1
30,bubble tea,1
30,susu,5
30,jus buah,1
30,soft drink,1
30,es doger,1
30,teh,5
30,kopi,1
30,air mineral,1
30,air kelapa,1
31,nasi goreng,1
31,mie kuah,1
31,nasi,1
31,mie,1
31,bakso,5
31,bubur,1
31,ayam,1
31,kue,1
31,buah,5
31,roti,1
31,jagung,1
31,kacang,1
31,tahu,1
31,sate,1
31,gorengan kering,5
31,es krim,1
31,ubi,1
31,luar negeri,1
31,gorengan basah,1
31,berkuah,1
31,cendol,1
31,es campur,1
31,bubble tea,1
31,susu,1
31,jus buah,5
31,soft drink,5
31,es doger,1
31,teh,1
31,kopi,1
31,air mineral,1
31,air kelapa,1
32,nasi goreng,5
32,mie kuah,1
32,nasi,1
32,mie,5
32,bakso,5
32,bubur,5
32,ayam,5
32,kue,5
32,buah,1
32,roti,5
32,jagung,1
32,kacang,1
32,tahu,1
32,sate,5
32,gorengan kering,5
32,es krim,1
32,ubi,1
32,luar negeri,1
32,gorengan basah,1
32,berkuah,1
32,cendol,5
32,es campur,1
32,bubble tea,1
32,susu,1
32,jus buah,5
32,soft drink,1
32,es doger,1
32,teh,5
32,kopi,1
32,air mineral,1
32,air kelapa,1
33,nasi goreng,5
33,mie kuah,5
33,nasi,1
33,mie,1
33,bakso,5
33,bubur,5
33,ayam,1
33,kue,5
33,buah,5
33,roti,5
33,jagung,1
33,kacang,1
33,tahu,5
33,sate,5
33,gorengan kering,5
33,es krim,1
33,ubi,5
33,luar negeri,1
33,gorengan basah,1
33,berkuah,1
33,cendol,5
33,es campur,5
33,bubble tea,1
33,susu,5
33,jus buah,5
33,soft drink,1
33,es doger,1
33,teh,1
33,kopi,1
33,air mineral,1
33,air kelapa,1
34,nasi goreng,5
34,mie kuah,1
34,nasi,1
34,mie,5
34,bakso,5
34,bubur,5
34,ayam,5
34,kue,5
34,buah,5
34,roti,1
34,jagung,5
34,kacang,1
34,tahu,1
34,sate,5
34,gorengan kering,5
