No,data
36,es krim
36,tahu
36,sate
36,gorengan lain
36,bubble tea
36,soda/soft drink
36,susu
36,jus buah
37,mie-miean
37,bakso/batagor/siomay
37,ayam bakar/goreng/fried chicken
37,kue-kue
37,jagung
37,kacang
37,sate
37,cendol
37,es campur
37,jus buah
38,nasi goreng
38,mie-miean
38,bakso/batagor/siomay
38,sate
38,gorengan lain
38,cendol
38,jus buah
39,nasi goreng
39,nasi-nasian
39,mie-miean
39,ayam bakar/goreng/fried chicken
39,kue-kue
39,teh
40,mie-miean
40,bakso/batagor/siomay
40,bubur
40,ayam bakar/goreng/fried chicken
40,gorengan lain
40,cendol
40,teh
40,susu
40,soda/soft drink
41,mie-miean
41,bakso/batagor/siomay
41,buah potong/rujak
41,teh
41,kopi
42,nasi goreng
42,mie kuah
42,nasi-nasian
42,mie-miean
42,bakso/batagor/siomay
42,bubur
42,ayam bakar/goreng/fried chicken
42,es krim
42,sate
42,gorengan lain
42,cendol
42,es doger
42,teh
42,kopi
42,bubble tea
42,soda/soft drink
42,susu
42,jus buah
43,nasi goreng
43,nasi-nasian
43,bakso/batagor/siomay
43,sate
43,cendol
43,es campur
43,bubble tea
43,susu
43,jus buah
44,nasi goreng
44,mie kuah
44,mie-miean
44,bakso/batagor/siomay
44,bubur
44,ayam bakar/goreng/fried chicken
44,cendol
44,es campur
44,es doger
44,jus buah
45,nasi goreng
45,bakso/batagor/siomay
45,bubur
45,jus buah
46,nasi goreng
46,bakso/batagor/siomay
46,gorengan lain
46,teh
46,kopi
47,nasi goreng
47,mie kuah
47,mie-miean
47,bakso/batagor/siomay
47,bubur
47,ayam bakar/goreng/fried chicken
47,kue-kue
47,buah potong/rujak
47,es krim
47,gorengan lain
47,es campur
47,teh
47,kopi
47,soda/soft drink
47,susu
47,jus buah
48,nasi goreng
48,mie-miean
48,bakso/batagor/siomay
48,bubur
48,ayam bakar/goreng/fried chicken
48,kue-kue
48,sate
48,cendol
48,es campur
48,es doger
48,teh
48,kopi
48,soda/soft drink
48,susu
48,jus buah
49,nasi goreng
49,bakso/batagor/siomay
49,ayam bakar/goreng/fried chicken
49,sate
49,minuman air
50,angkringan
50,jus buah
51,mie-miean
51,bakso/batagor/siomay
51,bubur
51,ayam bakar/goreng/fried chicken
51,kue-kue
51,roti bakar/kukus
51,es krim
51,tahu
51,sate
51,gorengan lain
51,cendol
51,es campur
51,es doger
51,teh
51,bubble tea
51,susu
51,jus buah
52,nasi goreng
52,bakso/batagor/siomay
52,bubur
52,ayam bakar/goreng/fried chicken
52,kue-kue
52,buah potong/rujak
52,roti bakar/kukus
52,es krim
52,jagung
52,kacang
52,ubi
52,tahu
52,sate
52,gorengan lain
52,cendol
52,teh
53,nasi goreng
53,es doger
54,nasi goreng
54,nasi-nasian
54,mie-miean
54,bakso/batagor/siomay
54,ayam bakar/goreng/fried chicken
54,buah potong/rujak
54,roti bakar/kukus
54,es krim
54,sate
54,seblak
54,es campur
54,es doger
54,teh
54,susu
54,jus buah
55,mie kuah
55,mie-miean
55,bakso/batagor/siomay
55,bubur
55,kue-kue
55,es krim
55,sate
55,gorengan lain
55,cendol
55,es campur
55,teh
55,kopi
55,bubble tea
55,susu
55,jus buah
56,nasi goreng
56,mie kuah
56,nasi-nasian
56,mie-miean
56,bakso/batagor/siomay
56,bubur
56,ayam bakar/goreng/fried chicken
56,roti bakar/kukus
56,sate
56,es campur
56,teh
56,susu
56,jus buah
57,nasi goreng
57,mie kuah
57,nasi-nasian
57,mie-miean
57,bakso/batagor/siomay
57,bubur
57,ayam bakar/goreng/fried chicken
57,buah potong/rujak
57,es krim
57,sate
57,sosis
57,susu
57,jus buah
58,nasi goreng
58,ayam bakar/goreng/fried chicken
58,gorengan lain
58,sate
58,es doger
58,jus buah
58,susu
60,nasi goreng
60,nasi-nasian
60,mie-miean
60,bakso/batagor/siomay
60,bubur
60,ayam bakar/goreng/fried chicken
60,gorengan lain
60,soto/sop/makanan berkuah lainnya
60,teh
61,nasi-nasian
61,mie-miean
61,bakso/batagor/siomay
61,gorengan lain
61,cendol
61,es doger
62,nasi goreng
62,mie kuah
62,mie-miean
62,bakso/batagor/siomay
62,tahu
62,sate
62,cendol
62,es campur
62,es doger
62,teh
62,kopi
62,bubble tea
62,susu
62,jus buah
63,nasi goreng
63,bakso/batagor/siomay
63,roti bakar/kukus
63,tahu
63,es doger
64,nasi goreng
64,mie kuah
64,dimsum
64,cendol
64,es campur
64,teh
65,mie kuah
65,mie-miean
65,bubur
65,ayam bakar/goreng/fried chicken
65,roti bakar/kukus
65,es krim
65,ubi
65,sate
65,bubble tea
65,soda/soft drink
65,susu
65,jus buah
66,mie-miean
66,bakso/batagor/siomay
66,bubur
66,ayam bakar/goreng/fried chicken
66,kue-kue
66,roti bakar/kukus
66,tahu
66,sate
66,gorengan lain
66,cendol
66,es campur
66,es doger
66,teh
66,bubble tea
66,jus buah
67,nasi goreng
67,bakso/batagor/siomay
67,bubur
67,ayam bakar/goreng/fried chicken
67,sate
67,es campur
67,es doger
68,nasi goreng
68,bubur
68,ayam bakar/goreng/fried chicken
68,tahu
68,teh
69,nasi goreng
69,mie kuah
69,nasi-nasian
69,mie-miean
69,bakso/batagor/siomay
69,bubur
69,ayam bakar/goreng/fried chicken
69,kue-kue
69,roti bakar/kukus
69,es krim
69,sate
69,kebab
69,burger
69,es campur
69,teh
69,kopi
69,bubble tea
69,susu
70,nasi goreng
70,bakso/batagor/siomay
70,bubur
70,ayam bakar/goreng/fried chicken
70,buah potong/rujak
70,roti bakar/kukus
70,es krim
70,sate
70,gorengan lain
70,cendol
70,es campur
70,teh
70,kopi
70,soda/soft drink
70,jus buah
71,nasi goreng
71,mie kuah
71,nasi-nasian
71,mie-miean
71,bakso/batagor/siomay
71,bubur
71,ayam bakar/goreng/fried chicken
71,kue-kue
71,buah potong/rujak
71,roti bakar/kukus
71,es krim
71,jagung
71,kacang
71,ubi
71,tahu
71,sate
71,gorengan lain
71,cendol
71,es campur
71,es doger
71,teh
71,bubble tea
71,soda/soft drink
71,susu
71,jus buah
72,nasi goreng
72,es campur
73,mie kuah
73,bakso/batagor/siomay
73,sate
73,teh
74,nasi goreng
74,bakso/batagor/siomay
74,bubur
74,kue-kue
74,roti bakar/kukus
74,sate
74,cendol
74,es campur
74,jus buah
74,kopi
75,nasi goreng
75,mie-miean
75,ayam bakar/goreng/fried chicken
75,sate
75,cendol
75,susu
76,nasi-nasian
76,mie-miean
76,bakso/batagor/siomay
76,bubur
76,ayam bakar/goreng/fried chicken
76,kue-kue
76,buah potong/rujak
76,roti bakar/kukus
76,es krim
76,sate
76,gorengan lain
76,cendol
76,es campur
76,jus buah
77,bakso/batagor/siomay
77,kue-kue
77,gorengan lain
77,es campur
77,bubble tea
77,jus buah
78,nasi goreng
78,nasi-nasian
78,mie-miean
78,bakso/batagor/siomay
78,bubur
78,roti bakar/kukus
78,es krim
78,tahu
78,sate
78,gorengan lain
78,teh
78,soda/soft drink
79,nasi goreng
79,mie kuah
79,bakso/batagor/siomay
79,sate
79,gorengan lain
79,cendol
79,es campur
79,teh
80,nasi-nasian
80,mie-miean
80,bakso/batagor/siomay
80,kue-kue
80,jagung
80,tahu
80,sate
80,gorengan lain
80,es campur
80,kopi
80,jus buah
81,nasi goreng
81,mie kuah
81,mie-miean
81,bakso/batagor/siomay
81,bubur
81,ayam bakar/goreng/fried chicken
81,buah potong/rujak
81,roti bakar/kukus
81,es krim
81,sate
81,gorengan lain
81,jus buah
82,nasi goreng
82,mie kuah
82,bakso/batagor/siomay
82,bubur
82,ayam bakar/goreng/fried chicken
82,kue-kue
82,roti bakar/kukus
82,es krim
82,sate
82,gorengan lain
82,cendol
82,es campur
82,es doger
82,teh
82,bubble tea
82,susu
82,jus buah
83,mie-miean
83,bakso/batagor/siomay
83,ayam bakar/goreng/fried chicken
83,kue-kue
83,roti bakar/kukus
83,gorengan lain
83,teh
83,kopi
83,soda/soft drink
84,nasi goreng
84,mie kuah
84,bakso/batagor/siomay
84,es campur
84,kopi
85,nasi goreng
85,bakso/batagor/siomay
85,kue-kue
85,tahu
85,gorengan lain
85,bubble tea
85,susu
85,jus buah
86,nasi goreng
86,mie-miean
86,bakso/batagor/siomay
86,ayam bakar/goreng/fried chicken
86,gorengan lain
86,teh
86,susu
86,jus buah
87,nasi goreng
87,mie-miean
87,bakso/batagor/siomay
87,gorengan lain
87,cendol
87,kopi
87,soda/soft drink
88,nasi goreng
88,mie-miean
88,bakso/batagor/siomay
88,gorengan lain
88,bubble tea
88,susu
88,jus buah
89,nasi goreng
89,mie kuah
89,mie-miean
89,bakso/batagor/siomay
89,bubur
89,ayam bakar/goreng/fried chicken
89,es krim
89,jagung
89,tahu
89,gorengan lain
89,es doger
89,kopi
89,bubble tea
89,soda/soft drink
90,nasi goreng
90,bakso/batagor/siomay
90,bubur
90,sate
90,gorengan lain
90,cendol
90,teh
91,nasi goreng
91,mie-miean
91,bakso/batagor/siomay
91,bubur
91,seblak
91,gorengan lain
91,es campur
91,es doger
91,teh
91,bubble tea
91,soda/soft drink
91,jus buah
92,mie-miean
92,bakso/batagor/siomay
92,kebab
92,cendol
92,teh
93,nasi goreng
93,mie kuah
93,bakso/batagor/siomay
93,bubur
93,ayam bakar/goreng/fried chicken
93,sate
93,gorengan lain
93,bubble tea
93,soda/soft drink
93,susu
93,jus buah
94,nasi goreng
94,mie kuah
94,nasi-nasian
94,mie-miean
94,bakso/batagor/siomay
94,ayam bakar/goreng/fried chicken
94,roti bakar/kukus
94,es krim
94,jagung
94,kacang
94,ubi
94,tahu
94,sate
94,gorengan lain
94,cendol
94,es campur
94,es doger
94,teh
94,kopi
94,bubble tea
94,soda/soft drink
94,susu
94,jus buah
95,nasi goreng
95,mie kuah
95,nasi-nasian
95,mie-miean
95,bakso/batagor/siomay
95,ayam bakar/goreng/fried chicken
95,es campur
95,bubble tea
95,susu
96,nasi goreng
96,mie-miean
96,bakso/batagor/siomay
96,ayam bakar/goreng/fried chicken
96,sate
96,es campur
96,es doger
96,teh
96,susu
96,jus buah
97,ayam bakar/goreng/fried chicken
97,roti bakar/kukus
97,tahu
97,gorengan lain
97,kopi
97,susu
98,nasi goreng
98,bubur
98,buah potong/rujak
98,ubi
98,minuman air
99,nasi goreng
99,kue-kue
99,roti bakar/kukus
99,gorengan lain
99,seblak
99,jus buah
100,nasi goreng
100,bakso/batagor/siomay
100,gorengan lain
100,cendol
100,es campur
100,es doger
100,bubble tea
101,nasi goreng
101,bakso/batagor/siomay
101,bubur
101,ayam bakar/goreng/fried chicken
101,kue-kue
101,es krim
101,ubi
101,tahu
101,sate
101,cendol
101,minuman air
102,nasi goreng
102,bakso/batagor/siomay
102,kue-kue
102,buah potong/rujak
102,roti bakar/kukus
102,tahu
102,sate
102,cendol
102,es campur
102,es doger
103,nasi goreng
103,mie-miean
103,bakso/batagor/siomay
103,kue-kue
103,cendol
103,es campur
103,air kelapa
104,nasi goreng
104,mie kuah
104,nasi-nasian
104,mie-miean
104,bakso/batagor/siomay
104,bubur
104,kue-kue
104,buah potong/rujak
104,roti bakar/kukus
104,jagung
104,kacang
104,ubi
104,cendol
104,es campur
104,bubble tea
104,susu
104,jus buah
105,nasi goreng
105,nasi-nasian
105,bakso/batagor/siomay
105,bubur
105,sate
105,gorengan lain
105,cendol
105,es campur
105,es doger
105,bubble tea
105,jus buah
106,nasi-nasian
106,kue-kue
106,tahu
106,cendol
106,es campur
106,es doger
106,teh
106,jus buah
107,nasi goreng
107,bakso/batagor/siomay
107,sate
107,gorengan lain
107,es campur
107,teh
107,soda/soft drink
107,jus buah
108,mie-miean
108,bakso/batagor/siomay
108,ayam bakar/goreng/fried chicken
108,roti bakar/kukus
108,tahu
108,sate
108,cendol
108,kopi
108,bubble tea
109,nasi goreng
109,mie kuah
109,nasi-nasian
109,mie-miean
109,bakso/batagor/siomay
109,bubur
109,ayam bakar/goreng/fried chicken
109,buah potong/rujak
109,es krim
109,sate
109,gorengan lain
109,teh
109,soda/soft drink
109,jus buah
110,nasi goreng
110,bakso/batagor/siomay
110,bubur
110,ayam bakar/goreng/fried chicken
110,kue-kue
110,es krim
110,tahu
110,sate
110,gorengan lain
110,seblak
110,teh
110,bubble tea
110,soda/soft drink
110,kopi
111,nasi goreng
111,mie-miean
111,ayam bakar/goreng/fried chicken
111,buah potong/rujak
111,es krim
111,cendol
111,es campur
111,teh
111,kopi
111,bubble tea
111,soda/soft drink
111,susu
111,jus buah
112,mie-miean
112,bakso/batagor/siomay
112,bubur
112,ayam bakar/goreng/fried chicken
112,buah potong/rujak
112,sate
112,gorengan lain
112,teh
112,kopi
112,bubble tea
113,bakso/batagor/siomay
113,bubur
113,kue-kue
113,sate
113,gorengan lain
113,cendol
113,es campur
113,es doger
113,kopi
113,bubble tea
113,jus buah
114,nasi goreng
114,mie-miean
114,bakso/batagor/siomay
114,bubur
114,sate
114,kopi
114,jus buah
115,nasi goreng
115,mie kuah
115,mie-miean
115,bakso/batagor/siomay
115,gorengan lain
115,cendol
115,es campur
115,es doger
115,teh
115,kopi
115,susu
116,nasi goreng
116,bakso/batagor/siomay
116,sate
116,jus buah
117,nasi goreng
117,bakso/batagor/siomay
117,ayam bakar/goreng/fried chicken
117,buah potong/rujak
117,tahu
117,jus buah
118,bakso/batagor/siomay
118,sate
118,bubble tea
119,nasi goreng
119,nasi-nasian
119,bakso/batagor/siomay
119,buah potong/rujak
119,roti bakar/kukus
119,sate
119,es campur
119,teh
119,bubble tea
119,jus buah
120,nasi goreng
120,mie-miean
120,ayam bakar/goreng/fried chicken
120,roti bakar/kukus
