No,data
175,nasi-nasian
175,mie-miean
175,bakso/batagor/siomay
175,bubur
175,ayam bakar/goreng/fried chicken
175,kue-kue
175,es krim
175,gorengan lain
175,soto/sop/makanan berkuah lainnya
175,teh
176,nasi goreng
176,bakso/batagor/siomay
176,bubur
176,gorengan lain
176,soto/sop/makanan berkuah lainnya
176,es campur
177,nasi goreng
177,bakso/batagor/siomay
177,bubur
177,kue-kue
177,buah potong/rujak
177,sate
177,soto/sop/makanan berkuah lainnya
177,cendol
177,jus buah
178,nasi goreng
178,nasi-nasian
178,bakso/batagor/siomay
178,sate
178,gorengan lain
178,teh
178,susu
179,nasi goreng
179,mie-miean
179,bakso/batagor/siomay
179,bubur
179,ayam bakar/goreng/fried chicken
179,kue-kue
179,buah potong/rujak
179,roti bakar/kukus
179,tahu
179,sate
179,teh
180,nasi goreng
180,mie-miean
180,bubur
180,kue-kue
180,buah potong/rujak
180,roti bakar/kukus
180,kacang
180,tahu
180,gorengan lain
180,soto/sop/makanan berkuah lainnya
180,teh
180,jus buah
181,bubur
181,kerang ijo
181,minuman air
182,mie kuah
182,bakso/batagor/siomay
182,bubur
182,soto/sop/makanan berkuah lainnya
182,minuman air
183,nasi goreng
183,bakso/batagor/siomay
183,bubur
183,sate
183,cendol
183,es campur
183,es doger
184,nasi goreng
184,bakso/batagor/siomay
184,bubur
184,ayam bakar/goreng/fried chicken
184,tahu
184,sate
184,gorengan lain
184,soto/sop/makanan berkuah lainnya
184,es campur
184,teh
184,kopi
184,soda/soft drink
184,susu
184,jus buah
185,nasi goreng
185,mie kuah
185,bakso/batagor/siomay
185,kue-kue
185,buah potong/rujak
185,sate
185,cendol
185,es doger
185,kopi
186,nasi goreng
186,nasi-nasian
186,mie-miean
186,bakso/batagor/siomay
186,soto/sop/makanan berkuah lainnya
186,cendol
186,es campur
186,es doger
187,nasi goreng
187,bakso/batagor/siomay
187,ayam bakar/goreng/fried chicken
187,kue-kue
187,tahu
187,sate
187,gorengan lain
187,soto/sop/makanan berkuah lainnya
187,cendol
187,teh
187,susu
187,jus buah
188,bakso/batagor/siomay
188,roti bakar/kukus
188,tahu
188,sate
188,gorengan lain
188,asinan
188,gorengan lain
188,aci
188,seblak
188,cendol
188,soda/soft drink
188,susu
188,jus buah
188,cincau
189,bakso/batagor/siomay
189,roti bakar/kukus
189,sate
189,gorengan lain
189,teh
190,mie-miean
190,bubur
190,ayam bakar/goreng/fried chicken
190,sate
190,soto/sop/makanan berkuah lainnya
190,teh
191,nasi goreng
191,mie kuah
191,nasi-nasian
191,mie-miean
191,bakso/batagor/siomay
191,bubur
191,ayam bakar/goreng/fried chicken
191,kue-kue
191,buah potong/rujak
191,roti bakar/kukus
191,es krim
191,jagung
191,kacang
191,ubi
191,tahu
191,sate
191,gorengan lain
191,soto/sop/makanan berkuah lainnya
191,cendol
191,es campur
191,es doger
191,teh
191,kopi
191,bubble tea
191,soda/soft drink
191,susu
191,jus buah
192,nasi goreng
192,buah potong/rujak
192,roti bakar/kukus
192,es krim
192,cendol
192,es campur
192,es doger
192,bubble tea
192,susu
192,jus buah
193,nasi goreng
193,mie-miean
193,bakso/batagor/siomay
193,bubur
193,kue-kue
193,sate
193,jus buah
194,nasi goreng
194,mie kuah
194,nasi-nasian
194,mie-miean
194,bakso/batagor/siomay
194,bubur
194,ayam bakar/goreng/fried chicken
194,kue-kue
194,buah potong/rujak
194,roti bakar/kukus
194,es krim
194,jagung
194,kacang
194,ubi
194,tahu
194,sate
194,gorengan lain
194,soto/sop/makanan berkuah lainnya
194,cendol
194,es campur
194,es doger
194,teh
194,kopi
194,bubble tea
194,soda/soft drink
194,susu
194,jus buah
195,nasi goreng
195,nasi-nasian
195,mie-miean
195,bakso/batagor/siomay
195,soto/sop/makanan berkuah lainnya
195,cendol
195,es campur
195,es doger
196,nasi goreng
196,nasi-nasian
196,bakso/batagor/siomay
196,bubur
196,ayam bakar/goreng/fried chicken
196,kue-kue
196,buah potong/rujak
196,roti bakar/kukus
196,es krim
196,tahu
196,gorengan lain
196,soto/sop/makanan berkuah lainnya
196,es campur
196,teh
196,bubble tea
196,jus buah
